Test_ID,Module,Feature_Name,User_Role,Preconditions,Test_Steps,Expected_Result,Actual_Result,Status,Severity,Notes
N-01,UI,Notary Dashboard,Notary,Logged in,"1. Access the specific Notary dashboard panel.",Shows 'Documents Awaiting Your Review' section,,High,
N-02,Token,Fuel Minting (NTK),Notary,Logged in,"1. Click 'Mint Daily Fuel' button.",100 NTK tokens are sent to wallet for gas fees,,High,
N-03,Token,Cooldown check,Notary,Minted today,"1. Try to click 'Mint Daily Fuel' again immediately.","Error shows: 'Already minted today. Wait 24h.'",,Medium,
N-04,Notary,Document Preview,Notary,Pending doc,"1. Click 'Review' on a document request.",File preview or info appears correctly for inspection,,Critical,
N-05,Notary,Approval Action,Notary,Pending doc,"1. Click 'Approve' and sign the MetaMask message.","Success notification; Document status changes to 'Approved'",,Critical,
N-06,Notary,Rejection Action,Notary,Pending doc,"1. Click 'Reject' and enter 'Blurred identity ID' in text box.","Success; Owner sees the rejection reason on their dashboard",,High,
N-07,UI,On-Chain Verification,Notary,Approved doc,"1. Click the 'View Transaction' link on an approved document.","Opens BscScan showing the actual blockchain record",,High,
N-08,Security,Identity Protection,Notary,Not logged in,"1. Try to access '.../notary/dashboard' URL via browser address bar.","System redirects to Login or shows 'Access Denied'",,Critical,
N-09,UI,Historical View,Notary,Any state,"1. Visit 'My History' under Notary panel.",Lists all documents previously approved/rejected by this notary,,Medium,
N-10,UI,Wallet Sync Check,Notary,MetaMask off,"1. Disable MetaMask and attempt to approve a page.","System shows 'Connect your wallet to perform this action'",,High,
N-11,UI,Search/Filter,Notary,Multiple docs,"1. Use the search bar to find a specific document by filename.",List updates instantly to show ONLY matching documents,,Low,
N-12,Auth,Session Timeout,Notary,Inactive 12h+,"1. Leave browser open overnight, then click 'Approve'.",System forces a Login before allowing the signature,,High,
N-13,UI,Gas Warning,Notary,Low balance,"1. Try to approve with 0.0 BNB in wallet.","MetaMask/System warns 'Insufficient funds for gas'",,High,
N-14,UI,File Hash Check,Notary,Reviewing,"1. Check the 'File Fingerprint' string in the review panel.","Matches the owner's fingerprint (hashes are identical)",,Critical,
N-15,Auth,Proper Logout,Notary,Logged in,"1. Click logout from Notary dashboard.","Redirected to Home; Notary panel is no longer accessible",,High,
