Test_ID,Module,Feature_Name,User_Role,Preconditions,Test_Steps,Expected_Result,Actual_Result,Status,Severity,Notes
O-01,Auth,Account Creation,Owner,New user,"1. Fill 'Sign Up' form with new Email, Pass, and National ID.",Account created; user redirected to Login screen,,Critical,
O-02,Token,Buying NTKR Tokens,Owner,Logged in,"1. Click 'Buy Tokens'. 2. Confirm transaction in MetaMask.",Successful transaction; 'On-Chain' balance increases,,High,
O-03,Token,Balance Deposit,Owner,Logged in,"1. Click 'Sync/Deposit' after buying NTKR tokens.", 'Internal Credits' update to match the purchase amount,,High,
O-04,Upload,Document Initiation,Owner,Logged in,"1. Click 'Notarize'. 2. Select a 5MB PDF file.",Progress bar completes; System asks for payment confirmation,,Critical,
O-05,Upload,Duplicate Handling,Owner,File uploaded,"1. Upload the exact same file reaching Step 1.",System warns that document already exists in history,,Medium,
O-06,UI,Dashboard Status,Owner,File initiated,"1. View 'My Documents' section on Dashboard.",Document appears as 'Pending' or 'Verifying',,High,
O-07,UI,Token Page Sync,Owner,Any state,"1. Visit 'Token Contracts' page.",Addresses match the official system config (no 0x... placeholders),,Medium,
O-08,Security,Blocked Account UI,Owner,Rejected account,"1. Log in and try to upload a new document.",Upload button is disabled or shows 'Permission Denied',,Critical,
O-09,UI,Liveness Check,Owner,Signed up,"1. Complete the camera-based liveness verification.",System shows 'Verification Success' checkmark,,High,
O-10,UI,Dashboard Profile,Owner,Logged in,"1. Check the top right user icon menu.",Displays correct user name and email,,Low,
O-11,Notary,Document Status,Owner,Approved file,"1. Check status of an approved document.","Status shows 'Approved' with a 'Download Signature' option",,High,
O-12,Upload,MIME Type check,Owner,Logged in,"1. Try to upload a .exe or .zip file.",System shows error: 'Invalid file format',,Medium,
O-13,UI,Footer Links,Owner,Landing page,"1. Click on 'Terms of Service' in footer.",Correct legal page or document opens,,Low,
O-14,Auth,Password Mismatch,Owner,Signed up,"1. Try to login with correct email but WRONG password.",System shows 'Invalid credentials' error,,High,
O-15,UI,Mobile UI Check,Owner,Any page,"1. Open the web app on a mobile phone browser.","All buttons are clickable; layout fits the narrow screen",,Medium,
