Test_ID,Module,Feature_Name,User_Role,Preconditions,Test_Steps,Expected_Result,Actual_Result,Status,Severity,Notes
A-01,Auth,Admin Entry,Admin,Genesis Admin,"1. Sign in with Admin credentials + Wallet.",Access to 'User Management' and 'System Config' panels,,Critical,
A-02,UI,User List View,Admin,Logged in,"1. Navigate to User Management Panel.",Displays list of all registered owners and notaries,,High,
A-03,Identity,KYC Approval,Admin,Pending user,"1. Click 'Approve KYC' for a new user.",User status changes to 'ACTIVE' instantly in DB,,High,
A-04,Identity,KYC Rejection,Admin,Pending user,"1. Click 'Reject KYC' and provide a reason.","User status changes to 'REJECTED'; Restricted banner appears for user",,High,
A-05,Identity,User Blocking,Admin,Active user,"1. Click 'Block/Deactivate' on an existing user.",User is immediately prevented from performing new actions,,Critical,
A-06,Config,SSoT Verification,Admin,Logged in,"1. Visit 'System Config' -> Check Contract Addresses.",Addresses displayed match the actual deployed smart contracts,,High,
A-07,Identity,Identity Recovery,Admin,Blocked user,"1. Click 'Unblock' on a previously blocked user.",User regains full 'ACTIVE' access to the system,,High,
A-08,UI,System Stats,Admin,Logged in,"1. View Dashboard analytics or user counts.",Displays accurate counts of Docs, Users, and Notaries,,Low,
A-09,Identity,Role Escalation,Admin,Standard user,"1. Change a user's role from 'Owner' to 'Notary'.",User now sees the Notary Dashboard instead of Owner Dashboard,,High,
A-10,Security,Session Hardening,Admin,Inactive,"1. Leave Admin panel open for 12 hours.","System requires re-login; prevents unauthorized 'ghost admin' access",,High,
A-11,Notaries,Manage Notaries,Admin,Logged in,"1. Search for a specific Notary and view their approval history.",List shows all activity for that specific service provider,,Medium,
A-12,UI,National ID Hash,Admin,Logged in,"1. Check a user profile.","System shows the 'Fingerprint' (Hash) of ID, NOT the plain ID number",,High,
A-13,Config,Authority Check,Admin,Logged in,"1. Verify 'System Activated' toggle switch.",Matches the on-chain genesis activation state,,Medium,
A-14,Security,Logout Idempotency,Admin,Logged in,"1. Click 'Logout' while restricted.","Redirects to home; confirm 100% of admin session is wiped",,High,
A-15,UI,Email Search,Admin,Logged in,"1. Search for a user using a fragment of their email address.",Search results return correctly filtered user rows,,Low,
