Test_ID,Module,Feature_Name,Roles,Preconditions,Test_Steps,Expected_Result,Actual_Result,Status,Severity,Notes
M-01,UI,Web App Launch,All,Browser open,1. Enter 'https://app.bbsns.online' in address bar.,Landing page loads correctly with no errors,,Critical,,
M-02,Config,Desktop Config Boot,All,Desktop App installed,1. Open the BBSNS Desktop Application.,App shows 'Fetching parameters' then displays Login screen,,Critical,,
M-03,Auth,Persistent Session,All,Logged in,1. Login to dashboard. 2. Refresh the page.,User remains logged in (no 'Sign In' button appears),,High,,
M-04,Auth,Public Logout,All,Logged in,1. Click 'Logout'. 2. Immediately click 'Back' in browser.,System shows Landing page; clicking 'Back' does NOT show Dashboard,,Critical,,
M-05,Security,Identity Block (403),All,User is REJECTED,1. Login with an account marked as 'Rejected' by Admin.,Top banner shows '🛡️ Account Restricted' message,,Critical,,
M-06,UI,Dashboard Accessibility,Owner,Logged in,1. Click 'Dashboard' button from the Home Page.,Dashboard loads without any 403 console errors,,High,,
M-07,Security,Global Rate Limit,All,Any browser,1. Refresh the home page 101 times very quickly.,System shows 'Too many requests' or 429 error message,,Medium,,
M-08,Security,Upload Rate Limit,Owner,Logged in,1. Try to initiate 6 different document uploads within 1 hour.,The 6th attempt shows a 'Limit reached' error message,,Medium,,
M-09,Upload,File Size Hard-Cap,Owner,Logged in,1. Upload a test file that is exactly 26MB.,System shows error: 'File too large (Max 25MB)',,High,,
M-10,Config,Authority Sync,All,Any App,1. Change contract address in admin. 2. Refresh user app.,User app reflects the new address immediately without update,,High,,
M-11,Security,Payload Guard,All,Browser open,1. Send a massive text chunk in the login form fields.,System rejects the request (error 413) instead of crashing,,High,,
M-12,Auth,False Session Check,All,Logged out,1. Manually type '.../dashboard' in browser after logging out.,System forces a redirect to the Sign In page,,High,,
M-13,UI,Dark Mode Toggle,All,Any page,1. Click the Sun/Moon icon in the header.,Theme switches between Light and Dark mode instantly,,Low,,
M-14,Infra,Offline Grace Mode,All,Loaded page,1. Disconnect internet while on the Dashboard.,Banner shows: '📡 Network sync delayed... Read-Only mode',,Medium,,
M-15,Auth,Cross-Domain Token,All,Web-App,1. Login to app.bbsns.online; check api.bbsns.online/auth/me,Token is correctly shared and recognized by the API,,Critical,,
